employee_id,name,sector,job_level,experience_years,basic_salary_idr,allowance_idr,overtime_idr,total_compensation_idr,location,source,created_at
EMP0179,Rina Ananda,Konstruksi,Operator,18,4642262,288548,81771,5012581,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0180,Andi Saputra,Manufaktur,Staff,16,5192437,791788,31624,6015849,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0181,Budi Wibowo,Manufaktur,Staff,20,4634751,565847,219653,5420251,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0182,Desi Utami,Manufaktur,Manager,13,9126589,1585308,253944,10965841,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0183,Bayu Wijaya,Konstruksi,Supervisor,8,5987574,539206,420868,6947648,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0184,Bayu Saputra,Pertanian,Operator,13,3769976,639440,198587,4608003,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0185,Wahyu Wibowo,Manufaktur,Operator,0,2782435,430222,151395,3364052,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0186,Nina Nugraha,Jasa,Operator,18,4729527,675337,284799,5689663,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0187,Yuli Susanto,Pertanian,Staff,12,3249252,325795,193267,3768314,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0188,Siti Ananda,Perdagangan,Staff,12,3771078,279489,246769,4297336,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0189,Lestari Pratama,Perdagangan,Operator,3,2656155,135352,60993,2852500,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0190,Rizky Nugraha,Manufaktur,Operator,0,2921642,416448,229333,3567423,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0191,Bagus Lestari,Manufaktur,Admin,16,3412700,495185,147424,4055309,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0192,Putri Saputra,Pertanian,Staff,7,3182593,531419,27238,3741250,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0193,Desi Wibowo,Konstruksi,Staff,1,3410191,663107,93267,4166565,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0194,Joko Wibowo,Jasa,Operator,7,4086996,592178,304735,4983909,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0195,Andi Lestari,Manufaktur,Staff,6,3164486,301083,179280,3644849,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0196,Agus Pratama,Manufaktur,Admin,1,2812357,169029,130981,3112367,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0197,Fajar Putra,Jasa,Operator,2,3398313,193232,236940,3828485,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0198,Dewi Saputra,Pertanian,Staff,17,3032268,594395,235031,3861694,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0199,Rizky Hidayat,Pertanian,Operator,11,2745187,449495,5399,3200081,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0200,Dewi Saputra,Jasa,Operator,0,2912466,155288,75400,3143154,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
